Número,Link,Site
0,1,http://www.mtgmintcard.com/,www.mtgmintcard.com
1,2,https://www.mtgmintcard.com/create-account,www.mtgmintcard.com
2,3,http://www.mtgmintcard.com/accessories,www.mtgmintcard.com
3,1,http://www.mtgmintcard.com/,www.mtgmintcard.com
4,2,https://www.mtgmintcard.com/create-account,www.mtgmintcard.com
5,3,http://www.mtgmintcard.com/mtg/pdb,www.mtgmintcard.com
6,4,http://www.mtgmintcard.com/mtg/card-lots,www.mtgmintcard.com
7,5,http://www.mtgmintcard.com/accessories,www.mtgmintcard.com
8,6,http://www.mtgmintcard.com/buylist,www.mtgmintcard.com
9,7,http://www.mtgmintcard.com/articles,www.mtgmintcard.com
10,8,http://www.mtgmintcard.com/#standard,www.mtgmintcard.com
11,9,http://www.mtgmintcard.com/#modern,www.mtgmintcard.com
12,10,http://www.mtgmintcard.com/#legacy,www.mtgmintcard.com
13,11,http://www.mtgmintcard.com/#oldSchool,www.mtgmintcard.com
14,12,http://www.mtgmintcard.com/#commander,www.mtgmintcard.com
15,13,http://www.mtgmintcard.com/#mastersSets,www.mtgmintcard.com
16,14,http://www.mtgmintcard.com/#masterpieces,www.mtgmintcard.com
17,15,http://www.mtgmintcard.com/#promo,www.mtgmintcard.com
18,16,http://www.mtgmintcard.com/#ftv,www.mtgmintcard.com
19,17,http://www.mtgmintcard.com/#duelDecks,www.mtgmintcard.com
20,18,http://www.mtgmintcard.com/#specialSets,www.mtgmintcard.com
21,19,http://www.mtgmintcard.com/#all,www.mtgmintcard.com
22,20,http://www.mtgmintcard.com/mtg/singles/standard,www.mtgmintcard.com
23,21,http://www.mtgmintcard.com/mtg/singles/eld,www.mtgmintcard.com
24,22,http://www.mtgmintcard.com/mtg/singles/eldv,www.mtgmintcard.com
25,23,http://www.mtgmintcard.com/mtg/singles/m20,www.mtgmintcard.com
26,24,http://www.mtgmintcard.com/mtg/singles/war,www.mtgmintcard.com
27,25,http://www.mtgmintcard.com/mtg/singles/rna,www.mtgmintcard.com
28,26,http://www.mtgmintcard.com/mtg/singles/grn,www.mtgmintcard.com
29,27,http://www.mtgmintcard.com/mtg/singles/m19,www.mtgmintcard.com
30,28,http://www.mtgmintcard.com/mtg/singles/dom,www.mtgmintcard.com
31,29,http://www.mtgmintcard.com/mtg/singles/rix,www.mtgmintcard.com
32,30,http://www.mtgmintcard.com/mtg/singles/xln,www.mtgmintcard.com
33,31,http://www.mtgmintcard.com/mtg/singles/modern-staples,www.mtgmintcard.com
34,32,http://www.mtgmintcard.com/mtg/singles/hou,www.mtgmintcard.com
35,33,http://www.mtgmintcard.com/mtg/singles/akh,www.mtgmintcard.com
36,34,http://www.mtgmintcard.com/mtg/singles/aer,www.mtgmintcard.com
37,35,http://www.mtgmintcard.com/mtg/singles/kld,www.mtgmintcard.com
38,36,http://www.mtgmintcard.com/mtg/singles/emn,www.mtgmintcard.com
39,37,http://www.mtgmintcard.com/mtg/singles/soi,www.mtgmintcard.com
40,38,http://www.mtgmintcard.com/mtg/singles/ogw,www.mtgmintcard.com
41,39,http://www.mtgmintcard.com/mtg/singles/bfz,www.mtgmintcard.com
42,40,http://www.mtgmintcard.com/mtg/singles/ori,www.mtgmintcard.com
43,41,http://www.mtgmintcard.com/mtg/singles/dtk,www.mtgmintcard.com
44,42,http://www.mtgmintcard.com/mtg/singles/frf,www.mtgmintcard.com
45,43,http://www.mtgmintcard.com/mtg/singles/ktk,www.mtgmintcard.com
46,44,http://www.mtgmintcard.com/mtg/singles/m15,www.mtgmintcard.com
47,45,http://www.mtgmintcard.com/mtg/singles/jou,www.mtgmintcard.com
48,46,http://www.mtgmintcard.com/mtg/singles/bng,www.mtgmintcard.com
49,47,http://www.mtgmintcard.com/mtg/singles/ths,www.mtgmintcard.com
50,48,http://www.mtgmintcard.com/mtg/singles/m14,www.mtgmintcard.com
51,49,http://www.mtgmintcard.com/mtg/singles/dgm,www.mtgmintcard.com
52,50,http://www.mtgmintcard.com/mtg/singles/gtc,www.mtgmintcard.com
53,51,http://www.mtgmintcard.com/mtg/singles/rtr,www.mtgmintcard.com
54,52,http://www.mtgmintcard.com/mtg/singles/m13,www.mtgmintcard.com
55,53,http://www.mtgmintcard.com/mtg/singles/avr,www.mtgmintcard.com
56,54,http://www.mtgmintcard.com/mtg/singles/dka,www.mtgmintcard.com
57,55,http://www.mtgmintcard.com/mtg/singles/isd,www.mtgmintcard.com
58,56,http://www.mtgmintcard.com/mtg/singles/m12,www.mtgmintcard.com
59,57,http://www.mtgmintcard.com/mtg/singles/nph,www.mtgmintcard.com
60,58,http://www.mtgmintcard.com/mtg/singles/mbs,www.mtgmintcard.com
61,59,http://www.mtgmintcard.com/mtg/singles/som,www.mtgmintcard.com
62,60,http://www.mtgmintcard.com/mtg/singles/m11,www.mtgmintcard.com
63,61,http://www.mtgmintcard.com/mtg/singles/roe,www.mtgmintcard.com
64,62,http://www.mtgmintcard.com/mtg/singles/wwk,www.mtgmintcard.com
65,63,http://www.mtgmintcard.com/mtg/singles/zen,www.mtgmintcard.com
66,64,http://www.mtgmintcard.com/mtg/singles/m10,www.mtgmintcard.com
67,65,http://www.mtgmintcard.com/mtg/singles/arb,www.mtgmintcard.com
68,66,http://www.mtgmintcard.com/mtg/singles/con,www.mtgmintcard.com
69,67,http://www.mtgmintcard.com/mtg/singles/ala,www.mtgmintcard.com
70,68,http://www.mtgmintcard.com/mtg/singles/eve,www.mtgmintcard.com
71,69,http://www.mtgmintcard.com/mtg/singles/shm,www.mtgmintcard.com
72,70,http://www.mtgmintcard.com/mtg/singles/mor,www.mtgmintcard.com
73,71,http://www.mtgmintcard.com/mtg/singles/lrw,www.mtgmintcard.com
74,72,http://www.mtgmintcard.com/mtg/singles/10e,www.mtgmintcard.com
75,73,http://www.mtgmintcard.com/mtg/singles/fut,www.mtgmintcard.com
76,74,http://www.mtgmintcard.com/mtg/singles/plc,www.mtgmintcard.com
77,75,http://www.mtgmintcard.com/mtg/singles/tsb,www.mtgmintcard.com
78,76,http://www.mtgmintcard.com/mtg/singles/tsp,www.mtgmintcard.com
79,77,http://www.mtgmintcard.com/mtg/singles/dis,www.mtgmintcard.com
80,78,http://www.mtgmintcard.com/mtg/singles/gpt,www.mtgmintcard.com
81,79,http://www.mtgmintcard.com/mtg/singles/rav,www.mtgmintcard.com
82,80,http://www.mtgmintcard.com/mtg/singles/9ed,www.mtgmintcard.com
83,81,http://www.mtgmintcard.com/mtg/singles/sok,www.mtgmintcard.com
84,82,http://www.mtgmintcard.com/mtg/singles/bok,www.mtgmintcard.com
85,83,http://www.mtgmintcard.com/mtg/singles/chk,www.mtgmintcard.com
86,84,http://www.mtgmintcard.com/mtg/singles/5dn,www.mtgmintcard.com
87,85,http://www.mtgmintcard.com/mtg/singles/dst,www.mtgmintcard.com
88,86,http://www.mtgmintcard.com/mtg/singles/mrd,www.mtgmintcard.com
89,87,http://www.mtgmintcard.com/mtg/singles/8ed,www.mtgmintcard.com
90,88,http://www.mtgmintcard.com/mtg/singles/csp,www.mtgmintcard.com
91,89,http://www.mtgmintcard.com/mtg/singles/scg,www.mtgmintcard.com
92,90,http://www.mtgmintcard.com/mtg/singles/lgn,www.mtgmintcard.com
93,91,http://www.mtgmintcard.com/mtg/singles/ons,www.mtgmintcard.com
94,92,http://www.mtgmintcard.com/mtg/singles/jud,www.mtgmintcard.com
95,93,http://www.mtgmintcard.com/mtg/singles/tor,www.mtgmintcard.com
96,94,http://www.mtgmintcard.com/mtg/singles/ody,www.mtgmintcard.com
97,95,http://www.mtgmintcard.com/mtg/singles/apc,www.mtgmintcard.com
98,96,http://www.mtgmintcard.com/mtg/singles/7ed,www.mtgmintcard.com
99,97,http://www.mtgmintcard.com/mtg/singles/pls,www.mtgmintcard.com
100,98,http://www.mtgmintcard.com/mtg/singles/inv,www.mtgmintcard.com
101,99,http://www.mtgmintcard.com/mtg/singles/pcy,www.mtgmintcard.com
102,100,http://www.mtgmintcard.com/mtg/singles/nms,www.mtgmintcard.com
103,101,http://www.mtgmintcard.com/mtg/singles/mmq,www.mtgmintcard.com
104,102,http://www.mtgmintcard.com/mtg/singles/uds,www.mtgmintcard.com
105,103,http://www.mtgmintcard.com/mtg/singles/ulg,www.mtgmintcard.com
106,104,http://www.mtgmintcard.com/mtg/singles/usg,www.mtgmintcard.com
107,105,http://www.mtgmintcard.com/mtg/singles/exo,www.mtgmintcard.com
108,106,http://www.mtgmintcard.com/mtg/singles/sth,www.mtgmintcard.com
109,107,http://www.mtgmintcard.com/mtg/singles/tmp,www.mtgmintcard.com
110,108,http://www.mtgmintcard.com/mtg/singles/wth,www.mtgmintcard.com
111,109,http://www.mtgmintcard.com/mtg/singles/5ed,www.mtgmintcard.com
112,110,http://www.mtgmintcard.com/mtg/singles/vis,www.mtgmintcard.com
113,111,http://www.mtgmintcard.com/mtg/singles/mir,www.mtgmintcard.com
114,112,http://www.mtgmintcard.com/mtg/singles/all,www.mtgmintcard.com
115,113,http://www.mtgmintcard.com/mtg/singles/hml,www.mtgmintcard.com
116,114,http://www.mtgmintcard.com/mtg/singles/ice,www.mtgmintcard.com
117,115,http://www.mtgmintcard.com/mtg/singles/4ed,www.mtgmintcard.com
118,116,http://www.mtgmintcard.com/mtg/singles/fem,www.mtgmintcard.com
119,117,http://www.mtgmintcard.com/mtg/singles/drk,www.mtgmintcard.com
120,118,http://www.mtgmintcard.com/mtg/singles/leg,www.mtgmintcard.com
121,119,http://www.mtgmintcard.com/mtg/singles/3ed,www.mtgmintcard.com
122,120,http://www.mtgmintcard.com/mtg/singles/atq,www.mtgmintcard.com
123,121,http://www.mtgmintcard.com/mtg/singles/2ed,www.mtgmintcard.com
124,122,http://www.mtgmintcard.com/mtg/singles/arn,www.mtgmintcard.com
125,123,http://www.mtgmintcard.com/mtg/singles/leb,www.mtgmintcard.com
126,124,http://www.mtgmintcard.com/mtg/singles/lea,www.mtgmintcard.com
127,125,http://www.mtgmintcard.com/mtg/singles/c19,www.mtgmintcard.com
128,126,http://www.mtgmintcard.com/mtg/singles/c18,www.mtgmintcard.com
129,127,http://www.mtgmintcard.com/mtg/singles/cm2,www.mtgmintcard.com
130,1,http://www.mtgmintcard.com/,www.mtgmintcard.com
131,2,https://www.mtgmintcard.com/create-account,www.mtgmintcard.com
132,3,http://www.mtgmintcard.com/mtg/pdb,www.mtgmintcard.com
133,4,http://www.mtgmintcard.com/mtg/card-lots,www.mtgmintcard.com
134,5,http://www.mtgmintcard.com/accessories,www.mtgmintcard.com
135,6,http://www.mtgmintcard.com/buylist,www.mtgmintcard.com
136,7,http://www.mtgmintcard.com/articles,www.mtgmintcard.com
137,8,http://www.mtgmintcard.com/#standard,www.mtgmintcard.com
138,9,http://www.mtgmintcard.com/#modern,www.mtgmintcard.com
139,10,http://www.mtgmintcard.com/#legacy,www.mtgmintcard.com
140,11,http://www.mtgmintcard.com/#oldSchool,www.mtgmintcard.com
141,12,http://www.mtgmintcard.com/#commander,www.mtgmintcard.com
142,13,http://www.mtgmintcard.com/#mastersSets,www.mtgmintcard.com
143,14,http://www.mtgmintcard.com/#masterpieces,www.mtgmintcard.com
144,15,http://www.mtgmintcard.com/#promo,www.mtgmintcard.com
145,16,http://www.mtgmintcard.com/#ftv,www.mtgmintcard.com
146,17,http://www.mtgmintcard.com/#duelDecks,www.mtgmintcard.com
147,18,http://www.mtgmintcard.com/#specialSets,www.mtgmintcard.com
148,19,http://www.mtgmintcard.com/#all,www.mtgmintcard.com
149,20,http://www.mtgmintcard.com/mtg/singles/standard,www.mtgmintcard.com
150,21,http://www.mtgmintcard.com/mtg/singles/eldv,www.mtgmintcard.com
151,22,http://www.mtgmintcard.com/mtg/singles/eld,www.mtgmintcard.com
152,23,http://www.mtgmintcard.com/mtg/singles/m20,www.mtgmintcard.com
153,24,http://www.mtgmintcard.com/mtg/singles/war,www.mtgmintcard.com
154,25,http://www.mtgmintcard.com/mtg/singles/rna,www.mtgmintcard.com
155,26,http://www.mtgmintcard.com/mtg/singles/grn,www.mtgmintcard.com
156,27,http://www.mtgmintcard.com/mtg/singles/m19,www.mtgmintcard.com
157,28,http://www.mtgmintcard.com/mtg/singles/dom,www.mtgmintcard.com
