Número,Link,Site
0,1,https://www.capefeargames.com/,www.capefeargames.com
1,1,https://www.capefeargames.com/,www.capefeargames.com
2,2,https://www.capefeargames.com/buylist,www.capefeargames.com
3,2,https://www.capefeargames.com/buylist,www.capefeargames.com
4,3,https://www.capefeargames.com/faq__policies,www.capefeargames.com
5,3,https://www.capefeargames.com/faq__policies,www.capefeargames.com
6,4,https://www.capefeargames.com/specials,www.capefeargames.com
7,4,https://www.capefeargames.com/specials,www.capefeargames.com
8,5,https://www.capefeargames.com/products/multi_search,www.capefeargames.com
9,5,https://www.capefeargames.com/products/multi_search,www.capefeargames.com
10,6,https://www.capefeargames.com/retail_store,www.capefeargames.com
11,6,https://www.capefeargames.com/retail_store,www.capefeargames.com
12,7,https://www.capefeargames.com/user/login,www.capefeargames.com
13,7,https://www.capefeargames.com/user/login,www.capefeargames.com
14,8,https://www.capefeargames.com/advanced_search,www.capefeargames.com
15,8,https://www.capefeargames.com/advanced_search,www.capefeargames.com
16,9,https://www.capefeargames.com/user/signup,www.capefeargames.com
17,9,https://www.capefeargames.com/user/signup,www.capefeargames.com
18,10,https://www.capefeargames.com/catalog/magic_singles/8,www.capefeargames.com
19,10,https://www.capefeargames.com/catalog/magic_singles/8,www.capefeargames.com
20,11,https://www.capefeargames.com/catalog/event_registration-magic_events-prerelease_events/4277,www.capefeargames.com
21,11,https://www.capefeargames.com/catalog/event_registration-magic_events-prerelease_events/4277,www.capefeargames.com
22,12,https://www.capefeargames.com/products/search?q=commander+2019,www.capefeargames.com
23,12,https://www.capefeargames.com/products/search?q=commander+2019,www.capefeargames.com
24,13,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/oko_thief_of_crowns/606112,www.capefeargames.com
25,13,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/oko_thief_of_crowns/606112,www.capefeargames.com
26,14,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/once_upon_a_time/606226,www.capefeargames.com
27,14,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/once_upon_a_time/606226,www.capefeargames.com
28,15,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/garruk_cursed_huntsman/606153,www.capefeargames.com
29,15,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/garruk_cursed_huntsman/606153,www.capefeargames.com
30,16,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/gilded_goose/606111,www.capefeargames.com
31,16,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/gilded_goose/606111,www.capefeargames.com
32,17,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/the_circle_of_loyalty/606155,www.capefeargames.com
33,17,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/the_circle_of_loyalty/606155,www.capefeargames.com
34,18,https://www.capefeargames.com/catalog/magic_products-booster_boxes/modern_horizons_booster_box/594324,www.capefeargames.com
35,18,https://www.capefeargames.com/catalog/magic_products-booster_boxes/modern_horizons_booster_box/594324,www.capefeargames.com
36,19,https://www.capefeargames.com/catalog/magic_products-booster_boxes/core_set_2020_booster_box/602051,www.capefeargames.com
37,19,https://www.capefeargames.com/catalog/magic_products-booster_boxes/core_set_2020_booster_box/602051,www.capefeargames.com
38,20,https://www.capefeargames.com/catalog/magic_products-fat_packs_and_bundles/core_set_2020_bundle/602054,www.capefeargames.com
39,20,https://www.capefeargames.com/catalog/magic_products-fat_packs_and_bundles/core_set_2020_bundle/602054,www.capefeargames.com
40,21,https://www.capefeargames.com/catalog/magic_products-booster_packs/modern_horizons_booster_pack/601793,www.capefeargames.com
41,21,https://www.capefeargames.com/catalog/magic_products-booster_packs/modern_horizons_booster_pack/601793,www.capefeargames.com
42,22,https://www.capefeargames.com/catalog/magic_products-booster_packs/core_set_2020_booster_pack/602053,www.capefeargames.com
43,22,https://www.capefeargames.com/catalog/magic_products-booster_packs/core_set_2020_booster_pack/602053,www.capefeargames.com
44,23,https://www.capefeargames.com/catalog/board_games/the_rise_of_queensdale/592960,www.capefeargames.com
45,23,https://www.capefeargames.com/catalog/board_games/the_rise_of_queensdale/592960,www.capefeargames.com
46,24,https://www.capefeargames.com/catalog/board_games/expancity/601794,www.capefeargames.com
47,24,https://www.capefeargames.com/catalog/board_games/expancity/601794,www.capefeargames.com
48,25,https://www.capefeargames.com/catalog/board_games/trekking_the_national_parks/595542,www.capefeargames.com
49,25,https://www.capefeargames.com/catalog/board_games/trekking_the_national_parks/595542,www.capefeargames.com
50,26,https://www.capefeargames.com/catalog/board_games/sagrada/495013,www.capefeargames.com
51,26,https://www.capefeargames.com/catalog/board_games/sagrada/495013,www.capefeargames.com
52,27,https://www.capefeargames.com/catalog/supplies-dice-monster_rocks_token_dice/monster_rocks_28_magic_the_gathering_token_dice_collection_9_different_die_molds/593013,www.capefeargames.com
53,27,https://www.capefeargames.com/catalog/supplies-dice-monster_rocks_token_dice/monster_rocks_28_magic_the_gathering_token_dice_collection_9_different_die_molds/593013,www.capefeargames.com
54,28,https://www.capefeargames.com/catalog/supplies-dice-monster_dice/13_pocket_dice_for_pokemon_tcg/606221,www.capefeargames.com
55,28,https://www.capefeargames.com/catalog/supplies-dice-monster_dice/13_pocket_dice_for_pokemon_tcg/606221,www.capefeargames.com
56,29,https://www.capefeargames.com/catalog/supplies-dice-monster_rocks_token_dice/monster_rocks_6_blue/593016,www.capefeargames.com
57,29,https://www.capefeargames.com/catalog/supplies-dice-monster_rocks_token_dice/monster_rocks_6_blue/593016,www.capefeargames.com
58,30,https://www.capefeargames.com/catalog/sleeves_etc-sleeves/2x_mtgotraders_sleeves/421573,www.capefeargames.com
59,30,https://www.capefeargames.com/catalog/sleeves_etc-sleeves/2x_mtgotraders_sleeves/421573,www.capefeargames.com
60,31,https://www.capefeargames.com/catalog/board_games/230,www.capefeargames.com
61,31,https://www.capefeargames.com/catalog/board_games/230,www.capefeargames.com
62,32,https://www.capefeargames.com/shipping_rates,www.capefeargames.com
63,32,https://www.capefeargames.com/shipping_rates,www.capefeargames.com
64,33,https://www.capefeargames.com/catalog/event_registration/534,www.capefeargames.com
65,33,https://www.capefeargames.com/catalog/event_registration/534,www.capefeargames.com
66,34,https://www.capefeargames.com/catalog/event_registration-magic_events/1823,www.capefeargames.com
67,34,https://www.capefeargames.com/catalog/event_registration-magic_events/1823,www.capefeargames.com
68,35,https://www.capefeargames.com/catalog/event_registration-magic_events-deck_rentals/4276,www.capefeargames.com
69,35,https://www.capefeargames.com/catalog/event_registration-magic_events-deck_rentals/4276,www.capefeargames.com
70,36,https://www.capefeargames.com/catalog/event_registration-magic_events-draftother_events/4278,www.capefeargames.com
71,36,https://www.capefeargames.com/catalog/event_registration-magic_events-draftother_events/4278,www.capefeargames.com
72,37,https://www.capefeargames.com/catalog/event_registration-board_games_events/1833,www.capefeargames.com
73,37,https://www.capefeargames.com/catalog/event_registration-board_games_events/1833,www.capefeargames.com
74,38,https://www.capefeargames.com/catalog/event_registration-tcgccg_events/2833,www.capefeargames.com
75,38,https://www.capefeargames.com/catalog/event_registration-tcgccg_events/2833,www.capefeargames.com
76,39,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine_products/4420,www.capefeargames.com
77,39,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine_products/4420,www.capefeargames.com
78,40,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/4419,www.capefeargames.com
79,40,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/4419,www.capefeargames.com
80,41,https://www.capefeargames.com/catalog/throne_of_eldraine_brawl_deck_exclusive/4421,www.capefeargames.com
81,41,https://www.capefeargames.com/catalog/throne_of_eldraine_brawl_deck_exclusive/4421,www.capefeargames.com
82,42,https://www.capefeargames.com/catalog/throne_of_eldraine_collectors_singles/4422,www.capefeargames.com
83,42,https://www.capefeargames.com/catalog/throne_of_eldraine_collectors_singles/4422,www.capefeargames.com
84,43,https://www.capefeargames.com/catalog/throne_of_eldraine_planeswalker_deck_exclusive/4423,www.capefeargames.com
85,43,https://www.capefeargames.com/catalog/throne_of_eldraine_planeswalker_deck_exclusive/4423,www.capefeargames.com
86,44,https://www.capefeargames.com/catalog/magic_singles-core_set_2020/4388,www.capefeargames.com
87,44,https://www.capefeargames.com/catalog/magic_singles-core_set_2020/4388,www.capefeargames.com
88,45,https://www.capefeargames.com/catalog/magic_singles-modern_horizons/4287,www.capefeargames.com
89,45,https://www.capefeargames.com/catalog/magic_singles-modern_horizons/4287,www.capefeargames.com
90,46,https://www.capefeargames.com/catalog/magic_singles-modern_horizons_sets-modern_horizons_2019/4288,www.capefeargames.com
91,46,https://www.capefeargames.com/catalog/magic_singles-modern_horizons_sets-modern_horizons_2019/4288,www.capefeargames.com
92,47,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark/4279,www.capefeargames.com
93,47,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark/4279,www.capefeargames.com
94,48,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark-war_of_the_spark/4280,www.capefeargames.com
95,48,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark-war_of_the_spark/4280,www.capefeargames.com
96,49,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark-alt_art_planeswalkers_japanese/4285,www.capefeargames.com
97,49,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark-alt_art_planeswalkers_japanese/4285,www.capefeargames.com
98,50,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark-mythic_edition_war_of_the_spark/4281,www.capefeargames.com
99,50,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark-mythic_edition_war_of_the_spark/4281,www.capefeargames.com
100,51,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance/4266,www.capefeargames.com
101,51,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance/4266,www.capefeargames.com
102,52,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance-ravnica_allegiance/4267,www.capefeargames.com
103,52,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance-ravnica_allegiance/4267,www.capefeargames.com
104,53,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance_products-rna_guild_kit/4272,www.capefeargames.com
105,53,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance_products-rna_guild_kit/4272,www.capefeargames.com
106,54,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance-mythic_edition_ravnica_allegiance/4273,www.capefeargames.com
107,54,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance-mythic_edition_ravnica_allegiance/4273,www.capefeargames.com
108,55,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica/4241,www.capefeargames.com
109,55,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica/4241,www.capefeargames.com
110,56,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica-guilds_of_ravnica/4193,www.capefeargames.com
111,56,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica-guilds_of_ravnica/4193,www.capefeargames.com
112,57,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica-mythic_edition_guilds_of_ravnica/4242,www.capefeargames.com
113,57,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica-mythic_edition_guilds_of_ravnica/4242,www.capefeargames.com
114,58,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica_products-grn_guild_kits/4248,www.capefeargames.com
115,58,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica_products-grn_guild_kits/4248,www.capefeargames.com
116,59,https://www.capefeargames.com/catalog/magic_singles-core_set_2019/4053,www.capefeargames.com
117,59,https://www.capefeargames.com/catalog/magic_singles-core_set_2019/4053,www.capefeargames.com
118,60,https://www.capefeargames.com/catalog/magic_singles-dominaria/3853,www.capefeargames.com
119,60,https://www.capefeargames.com/catalog/magic_singles-dominaria/3853,www.capefeargames.com
120,61,https://www.capefeargames.com/catalog/magic_singles-ixalan_block/3583,www.capefeargames.com
121,61,https://www.capefeargames.com/catalog/magic_singles-ixalan_block/3583,www.capefeargames.com
122,62,https://www.capefeargames.com/catalog/magic_singles-ixalan_block-ixalan/3593,www.capefeargames.com
123,62,https://www.capefeargames.com/catalog/magic_singles-ixalan_block-ixalan/3593,www.capefeargames.com
124,63,https://www.capefeargames.com/catalog/magic_singles-ixalan_block-rivals_of_ixalan/3763,www.capefeargames.com
125,63,https://www.capefeargames.com/catalog/magic_singles-ixalan_block-rivals_of_ixalan/3763,www.capefeargames.com
126,64,https://www.capefeargames.com/catalog/magic_singles-amonkhet_block/3353,www.capefeargames.com
127,64,https://www.capefeargames.com/catalog/magic_singles-amonkhet_block/3353,www.capefeargames.com
128,65,https://www.capefeargames.com/catalog/magic_singles-amonkhet_block-amonkhet/3363,www.capefeargames.com
129,65,https://www.capefeargames.com/catalog/magic_singles-amonkhet_block-amonkhet/3363,www.capefeargames.com
130,66,https://www.capefeargames.com/catalog/magic_singles-amonkhet_block-hour_of_devastation/3403,www.capefeargames.com
131,66,https://www.capefeargames.com/catalog/magic_singles-amonkhet_block-hour_of_devastation/3403,www.capefeargames.com
132,67,https://www.capefeargames.com/catalog/magic_singles-kaladesh_block/3163,www.capefeargames.com
133,67,https://www.capefeargames.com/catalog/magic_singles-kaladesh_block/3163,www.capefeargames.com
134,68,https://www.capefeargames.com/catalog/magic_singles-kaladesh_block-kaladesh/3183,www.capefeargames.com
135,68,https://www.capefeargames.com/catalog/magic_singles-kaladesh_block-kaladesh/3183,www.capefeargames.com
136,69,https://www.capefeargames.com/catalog/magic_singles-kaladesh_block-aether_revolt/3283,www.capefeargames.com
137,69,https://www.capefeargames.com/catalog/magic_singles-kaladesh_block-aether_revolt/3283,www.capefeargames.com
138,70,https://www.capefeargames.com/catalog/magic_singles-shadows_over_innistrad_block/2813,www.capefeargames.com
139,70,https://www.capefeargames.com/catalog/magic_singles-shadows_over_innistrad_block/2813,www.capefeargames.com
140,71,https://www.capefeargames.com/catalog/magic_singles-shadows_over_innistrad_block-shadows_over_innistrad/2803,www.capefeargames.com
141,71,https://www.capefeargames.com/catalog/magic_singles-shadows_over_innistrad_block-shadows_over_innistrad/2803,www.capefeargames.com
142,72,https://www.capefeargames.com/catalog/magic_singles-shadows_over_innistrad_block-eldritch_moon/3113,www.capefeargames.com
143,72,https://www.capefeargames.com/catalog/magic_singles-shadows_over_innistrad_block-eldritch_moon/3113,www.capefeargames.com
144,73,https://www.capefeargames.com/catalog/magic_singles-battle_for_zendikar_block/2593,www.capefeargames.com
145,73,https://www.capefeargames.com/catalog/magic_singles-battle_for_zendikar_block/2593,www.capefeargames.com
146,74,https://www.capefeargames.com/catalog/magic_singles-battle_for_zendikar_block-battle_for_zendikar/2603,www.capefeargames.com
147,74,https://www.capefeargames.com/catalog/magic_singles-battle_for_zendikar_block-battle_for_zendikar/2603,www.capefeargames.com
148,75,https://www.capefeargames.com/catalog/magic_singles-battle_for_zendikar_block-oath_of_the_gatewatch/2703,www.capefeargames.com
149,75,https://www.capefeargames.com/catalog/magic_singles-battle_for_zendikar_block-oath_of_the_gatewatch/2703,www.capefeargames.com
150,76,https://www.capefeargames.com/catalog/magic_singles-core_sets/65,www.capefeargames.com
151,76,https://www.capefeargames.com/catalog/magic_singles-core_sets/65,www.capefeargames.com
152,77,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_origins/2293,www.capefeargames.com
153,77,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_origins/2293,www.capefeargames.com
154,78,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2015/1453,www.capefeargames.com
155,78,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2015/1453,www.capefeargames.com
156,79,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2014/871,www.capefeargames.com
157,79,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2014/871,www.capefeargames.com
158,80,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2013/774,www.capefeargames.com
159,80,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2013/774,www.capefeargames.com
