Número,Link,Site
0,1,https://www.capefeargames.com/,www.capefeargames.com
1,2,https://www.capefeargames.com/,www.capefeargames.com
2,3,https://www.capefeargames.com/,www.capefeargames.com
3,1,https://www.capefeargames.com/,www.capefeargames.com
4,2,https://www.capefeargames.com/buylist,www.capefeargames.com
5,3,https://www.capefeargames.com/faq__policies,www.capefeargames.com
6,4,https://www.capefeargames.com/specials,www.capefeargames.com
7,5,https://www.capefeargames.com/products/multi_search,www.capefeargames.com
8,6,https://www.capefeargames.com/retail_store,www.capefeargames.com
9,7,https://www.capefeargames.com/user/login,www.capefeargames.com
10,8,https://www.capefeargames.com/advanced_search,www.capefeargames.com
11,9,https://www.capefeargames.com/user/signup,www.capefeargames.com
12,10,https://www.capefeargames.com/catalog/magic_singles/8,www.capefeargames.com
13,11,https://www.capefeargames.com/catalog/event_registration-magic_events-prerelease_events/4277,www.capefeargames.com
14,12,https://www.capefeargames.com/products/search?q=commander+2019,www.capefeargames.com
15,13,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/oko_thief_of_crowns/606112,www.capefeargames.com
16,14,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/once_upon_a_time/606226,www.capefeargames.com
17,15,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/garruk_cursed_huntsman/606153,www.capefeargames.com
18,16,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/gilded_goose/606111,www.capefeargames.com
19,17,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/the_circle_of_loyalty/606155,www.capefeargames.com
20,18,https://www.capefeargames.com/catalog/magic_products-booster_boxes/modern_horizons_booster_box/594324,www.capefeargames.com
21,19,https://www.capefeargames.com/catalog/magic_products-booster_boxes/core_set_2020_booster_box/602051,www.capefeargames.com
22,20,https://www.capefeargames.com/catalog/magic_products-fat_packs_and_bundles/core_set_2020_bundle/602054,www.capefeargames.com
23,21,https://www.capefeargames.com/catalog/magic_products-booster_packs/modern_horizons_booster_pack/601793,www.capefeargames.com
24,22,https://www.capefeargames.com/catalog/magic_products-booster_packs/core_set_2020_booster_pack/602053,www.capefeargames.com
25,23,https://www.capefeargames.com/catalog/board_games/the_rise_of_queensdale/592960,www.capefeargames.com
26,24,https://www.capefeargames.com/catalog/board_games/expancity/601794,www.capefeargames.com
27,25,https://www.capefeargames.com/catalog/board_games/trekking_the_national_parks/595542,www.capefeargames.com
28,26,https://www.capefeargames.com/catalog/board_games/sagrada/495013,www.capefeargames.com
29,27,https://www.capefeargames.com/catalog/supplies-dice-monster_rocks_token_dice/monster_rocks_28_magic_the_gathering_token_dice_collection_9_different_die_molds/593013,www.capefeargames.com
30,28,https://www.capefeargames.com/catalog/supplies-dice-monster_dice/13_pocket_dice_for_pokemon_tcg/606221,www.capefeargames.com
31,29,https://www.capefeargames.com/catalog/supplies-dice-monster_rocks_token_dice/monster_rocks_6_blue/593016,www.capefeargames.com
32,30,https://www.capefeargames.com/catalog/sleeves_etc-sleeves/2x_mtgotraders_sleeves/421573,www.capefeargames.com
33,31,https://www.capefeargames.com/catalog/board_games/230,www.capefeargames.com
34,32,https://www.capefeargames.com/shipping_rates,www.capefeargames.com
35,33,https://www.capefeargames.com/catalog/event_registration/534,www.capefeargames.com
36,34,https://www.capefeargames.com/catalog/event_registration-magic_events/1823,www.capefeargames.com
37,35,https://www.capefeargames.com/catalog/event_registration-magic_events-deck_rentals/4276,www.capefeargames.com
38,36,https://www.capefeargames.com/catalog/event_registration-magic_events-draftother_events/4278,www.capefeargames.com
39,37,https://www.capefeargames.com/catalog/event_registration-board_games_events/1833,www.capefeargames.com
40,38,https://www.capefeargames.com/catalog/event_registration-tcgccg_events/2833,www.capefeargames.com
41,39,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine_products/4420,www.capefeargames.com
42,40,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine/4419,www.capefeargames.com
43,41,https://www.capefeargames.com/catalog/throne_of_eldraine_brawl_deck_exclusive/4421,www.capefeargames.com
44,42,https://www.capefeargames.com/catalog/throne_of_eldraine_collectors_singles/4422,www.capefeargames.com
45,43,https://www.capefeargames.com/catalog/throne_of_eldraine_planeswalker_deck_exclusive/4423,www.capefeargames.com
46,44,https://www.capefeargames.com/catalog/magic_singles-core_set_2020/4388,www.capefeargames.com
47,45,https://www.capefeargames.com/catalog/magic_singles-modern_horizons/4287,www.capefeargames.com
48,46,https://www.capefeargames.com/catalog/magic_singles-modern_horizons_sets-modern_horizons_2019/4288,www.capefeargames.com
49,47,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark/4279,www.capefeargames.com
50,48,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark-war_of_the_spark/4280,www.capefeargames.com
51,49,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark-alt_art_planeswalkers_japanese/4285,www.capefeargames.com
52,50,https://www.capefeargames.com/catalog/magic_singles-war_of_the_spark-mythic_edition_war_of_the_spark/4281,www.capefeargames.com
53,51,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance/4266,www.capefeargames.com
54,52,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance-ravnica_allegiance/4267,www.capefeargames.com
55,53,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance_products-rna_guild_kit/4272,www.capefeargames.com
56,54,https://www.capefeargames.com/catalog/magic_singles-ravnica_allegiance-mythic_edition_ravnica_allegiance/4273,www.capefeargames.com
57,55,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica/4241,www.capefeargames.com
58,56,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica-guilds_of_ravnica/4193,www.capefeargames.com
59,57,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica-mythic_edition_guilds_of_ravnica/4242,www.capefeargames.com
60,58,https://www.capefeargames.com/catalog/magic_singles-guilds_of_ravnica_products-grn_guild_kits/4248,www.capefeargames.com
61,59,https://www.capefeargames.com/catalog/magic_singles-core_set_2019/4053,www.capefeargames.com
62,60,https://www.capefeargames.com/catalog/magic_singles-dominaria/3853,www.capefeargames.com
63,61,https://www.capefeargames.com/catalog/magic_singles-ixalan_block/3583,www.capefeargames.com
64,62,https://www.capefeargames.com/catalog/magic_singles-ixalan_block-ixalan/3593,www.capefeargames.com
65,63,https://www.capefeargames.com/catalog/magic_singles-ixalan_block-rivals_of_ixalan/3763,www.capefeargames.com
66,64,https://www.capefeargames.com/catalog/magic_singles-amonkhet_block/3353,www.capefeargames.com
67,65,https://www.capefeargames.com/catalog/magic_singles-amonkhet_block-amonkhet/3363,www.capefeargames.com
68,66,https://www.capefeargames.com/catalog/magic_singles-amonkhet_block-hour_of_devastation/3403,www.capefeargames.com
69,67,https://www.capefeargames.com/catalog/magic_singles-kaladesh_block/3163,www.capefeargames.com
70,68,https://www.capefeargames.com/catalog/magic_singles-kaladesh_block-kaladesh/3183,www.capefeargames.com
71,69,https://www.capefeargames.com/catalog/magic_singles-kaladesh_block-aether_revolt/3283,www.capefeargames.com
72,70,https://www.capefeargames.com/catalog/magic_singles-shadows_over_innistrad_block/2813,www.capefeargames.com
73,71,https://www.capefeargames.com/catalog/magic_singles-shadows_over_innistrad_block-shadows_over_innistrad/2803,www.capefeargames.com
74,72,https://www.capefeargames.com/catalog/magic_singles-shadows_over_innistrad_block-eldritch_moon/3113,www.capefeargames.com
75,73,https://www.capefeargames.com/catalog/magic_singles-battle_for_zendikar_block/2593,www.capefeargames.com
76,74,https://www.capefeargames.com/catalog/magic_singles-battle_for_zendikar_block-battle_for_zendikar/2603,www.capefeargames.com
77,75,https://www.capefeargames.com/catalog/magic_singles-battle_for_zendikar_block-oath_of_the_gatewatch/2703,www.capefeargames.com
78,76,https://www.capefeargames.com/catalog/magic_singles-core_sets/65,www.capefeargames.com
79,77,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_origins/2293,www.capefeargames.com
80,78,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2015/1453,www.capefeargames.com
81,79,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2014/871,www.capefeargames.com
82,80,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2013/774,www.capefeargames.com
83,81,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2012/702,www.capefeargames.com
84,82,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2011/298,www.capefeargames.com
85,83,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2010/224,www.capefeargames.com
86,84,https://www.capefeargames.com/catalog/magic_singles-core_sets-10th_edition/76,www.capefeargames.com
87,85,https://www.capefeargames.com/catalog/magic_singles-core_sets-9th_edition/75,www.capefeargames.com
88,86,https://www.capefeargames.com/catalog/magic_singles-core_sets-8th_edition/74,www.capefeargames.com
89,87,https://www.capefeargames.com/catalog/magic_singles-core_sets-7th_edition/73,www.capefeargames.com
90,88,https://www.capefeargames.com/catalog/magic_singles-core_sets-sixth_edition/72,www.capefeargames.com
91,89,https://www.capefeargames.com/catalog/magic_singles-core_sets-5th_edition/71,www.capefeargames.com
92,90,https://www.capefeargames.com/catalog/magic_singles-core_sets-4th_edition/70,www.capefeargames.com
93,91,https://www.capefeargames.com/catalog/magic_singles-core_sets-3rd_edition/69,www.capefeargames.com
94,92,https://www.capefeargames.com/catalog/magic_singles-core_sets-unlimited/68,www.capefeargames.com
95,93,https://www.capefeargames.com/catalog/magic_singles-core_sets-beta/67,www.capefeargames.com
96,94,https://www.capefeargames.com/catalog/magic_singles-core_sets-alpha/66,www.capefeargames.com
97,95,https://www.capefeargames.com/catalog/magic_singles-khans_of_tarkir_block/1613,www.capefeargames.com
98,96,https://www.capefeargames.com/catalog/magic_singles-khans_of_tarkir_block-khans_of_tarkir/1563,www.capefeargames.com
99,97,https://www.capefeargames.com/catalog/magic_singles-khans_of_tarkir_block-fate_reforged/1853,www.capefeargames.com
100,98,https://www.capefeargames.com/catalog/magic_singles-khans_of_tarkir_block-dragons_of_tarkir/2173,www.capefeargames.com
101,99,https://www.capefeargames.com/catalog/magic_singles-theros_block/894,www.capefeargames.com
102,100,https://www.capefeargames.com/catalog/magic_singles-theros_block-theros/893,www.capefeargames.com
103,101,https://www.capefeargames.com/catalog/magic_singles-theros_block-born_of_the_gods/1043,www.capefeargames.com
104,102,https://www.capefeargames.com/catalog/magic_singles-theros_block-journey_into_nyx/1243,www.capefeargames.com
105,103,https://www.capefeargames.com/catalog/magic_singles-return_to_ravnica_block/800,www.capefeargames.com
106,104,https://www.capefeargames.com/catalog/magic_singles-return_to_ravnica_block-return_to_ravnica/801,www.capefeargames.com
107,105,https://www.capefeargames.com/catalog/magic_singles-return_to_ravnica_block-gatecrash/836,www.capefeargames.com
108,106,https://www.capefeargames.com/catalog/magic_singles-return_to_ravnica_block-dragons_maze/854,www.capefeargames.com
109,107,https://www.capefeargames.com/catalog/magic_singles-innistrad_block/716,www.capefeargames.com
110,108,https://www.capefeargames.com/catalog/magic_singles-innistrad_block-innistrad/715,www.capefeargames.com
111,109,https://www.capefeargames.com/catalog/magic_singles-innistrad_block-dark_ascension/742,www.capefeargames.com
112,110,https://www.capefeargames.com/catalog/magic_singles-innistrad_block-avacyn_restored/758,www.capefeargames.com
113,111,https://www.capefeargames.com/catalog/magic_singles-scars_of_mirrodin_block/528,www.capefeargames.com
114,112,https://www.capefeargames.com/catalog/magic_singles-scars_of_mirrodin_block-scars_of_mirrodin/522,www.capefeargames.com
115,113,https://www.capefeargames.com/catalog/magic_singles-scars_of_mirrodin_block-mirrodin_besieged/624,www.capefeargames.com
116,114,https://www.capefeargames.com/catalog/magic_singles-scars_of_mirrodin_block-new_phyrexia/685,www.capefeargames.com
117,115,https://www.capefeargames.com/catalog/magic_singles-zendikar_block/220,www.capefeargames.com
