,desc,mana,name,price,rarity,type,url
0,"Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in a random order. 
 Pro Tip!

While it's not as efficient to cast as Dig Through Time, Drawn from Dreams is powerful enough for Control decks to consider it. Its sorcery-speed casting restriction also isn't a drawback in decks running Teferi, Time Raveler or Leyline of Anticipation.",2uu,Core Set 2020 Foil: Drawn from Dreams,$3.49,R,Sorcery,./Paginas/PaginasHeuristica/www.cardkingdom.com221.html
1,"Sacrifice a land: You gain 3 life.
The decay of Crovax's ancestral home matched the state of his soul.","['b', 'g', 'w']", Overgrown Estate ,$0.35,Rare,Enchantment,./Paginas/PaginasHeuristica/abugames.com501.html
2,"As Arsenal Thresher comes into play, you may reveal any number of other artifact cards from your hand. Arsenal Thresher comes into play with a +1/+1 counter on it for each card revealed this way.",2White or BlackBlue,Arsenal Thresher,$0.01,,Artifact Creature - Construct,./Paginas/PaginasHeuristica/www.mtgotraders.com480.html
3,Target creature gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)Draw a card.,1Black,Bladebrand,$0.02,,Instant,./Paginas/PaginasHeuristica/www.mtgotraders.com56.html
4,Flying T Add one mana of any color to your mana pool.,G,Birds of Paradise - Foil,,R,Creature - Bird,./Paginas/PaginasHeuristica/www.capefeargames.com864.html
5,"Any creature in either player's graveyard comes into play on your side with -1 to its original power. If this enchantment is removed, or at end of game, target creature is returned to its owner's graveyard. Target creature may be killed as normal.
--This card has no flavor text --","['1', 'b']", Animate Dead ,$419.99,Uncommon,Enchantment - Aura,./Paginas/PaginasHeuristica/abugames.com151.html
6,+2: During target opponent's next turn creatures that player controls attack Gideon Jura if able.-2: Destroy target tapped creature.0: Until end of turn Gideon Jura becomes a 6/6 Human Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn.,3WW,Gideon Jura - Foil,$14.20,M,Planeswalker - Gideon,./Paginas/PaginasHeuristica/www.capefeargames.com537.html
7,"Whenever a permanent an opponent controls is put into a graveyard, put that card into play under your control unless that opponent pays 3 life.",4 ManaBlue ManaBlack ManaBlack ManaRed Mana,Prince of Thralls,$0.02,,Creature - Demon,./Paginas/PaginasHeuristica/www.mtgotraders.com879.html
8,"Argothian Enchantress can't be the target of spells or abilities.
Shroud (This creature can't be the target of spells or abilities.)",1 g,Argothian Enchantress (Judge),$39.99,Promo,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com779.html
9,"Tap: Target creature an opponent controls attacks you this turn if able.
Tap: Target creature an opponent controls attacks you this turn if able.",1 u,Alluring Siren,$0.25,Uncommon,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com283.html
