,Unnamed: 0,desc,mana,name,price,rarity,type,url
0,0,"Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in a random order. 
 Pro Tip!

While it's not as efficient to cast as Dig Through Time, Drawn from Dreams is powerful enough for Control decks to consider it. Its sorcery-speed casting restriction also isn't a drawback in decks running Teferi, Time Raveler or Leyline of Anticipation.",2uu,Core Set 2020 Foil: Drawn from Dreams,$3.49,Rare,Sorcery,https://www.cardkingdom.com/mtg/core-set-2020/drawn-from-dreams-foil
1,1,"Sacrifice a land: You gain 3 life.
The decay of Crovax's ancestral home matched the state of his soul.",bgw,Overgrown Estate,$0.35,Rare,Enchantment,https://abugames.com/magic-the-gathering/singles/product-detail/Overgrown-Estate/Apocalypse/English/
2,2,"As Arsenal Thresher comes into play, you may reveal any number of other artifact cards from your hand. Arsenal Thresher comes into play with a +1/+1 counter on it for each card revealed this way.",2w/bu,Arsenal Thresher,$0.01,,Artifact Creature - Construct,https://www.mtgotraders.com/store/ARB_Arsenal_Thresher.html
3,3,Target creature gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)Draw a card.,1b,Bladebrand,$0.02,,Instant,https://www.mtgotraders.com/store/M20_Bladebrand.html
4,4,Flying T Add one mana of any color to your mana pool.,g,Birds of Paradise - Foil,,Rare,Creature - Bird,https://www.capefeargames.com/catalog/magic_singles-core_sets-7th_edition/birds_of_paradise__foil/70466
5,5,"Any creature in either player's graveyard comes into play on your side with -1 to its original power. If this enchantment is removed, or at end of game, target creature is returned to its owner's graveyard. Target creature may be killed as normal.
--This card has no flavor text --",1b,Animate Dead,$419.99,Uncommon,Enchantment - Aura,https://abugames.com/magic-the-gathering/singles/product-detail/Animate-Dead/Alpha/English/ID%23-90612
6,6,+2: During target opponent's next turn creatures that player controls attack Gideon Jura if able.-2: Destroy target tapped creature.0: Until end of turn Gideon Jura becomes a 6/6 Human Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn.,3ww,Gideon Jura - Foil,$14.20,Mythic,Planeswalker - Gideon,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2012/gideon_jura__foil/80177
7,7,"Whenever a permanent an opponent controls is put into a graveyard, put that card into play under your control unless that opponent pays 3 life.",4ubbr,Prince of Thralls,$0.02,,Creature - Demon,https://www.mtgotraders.com/store/ALA_Prince_of_Thralls.html
8,8,"Argothian Enchantress can't be the target of spells or abilities.
Shroud (This creature can't be the target of spells or abilities.)",1g,Argothian Enchantress (Judge),$39.99,Promo,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/31864
9,9,"Tap: Target creature an opponent controls attacks you this turn if able.
Tap: Target creature an opponent controls attacks you this turn if able.",1u,Alluring Siren,$0.25,Uncommon,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/57562
10,10,Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.) Other creatures you control have intimidate. Whenever Vela the Night-Clad or another creature you control leaves the battlefield each opponent loses 1 life.,4ub,Vela the Night-Clad,$0.10/$0.13,Mythic,Legendary Creature - Human Wizard,https://www.capefeargames.com/buylist/magic_singles-commander_sets-commander_2017/vela_the_nightclad/473503
11,11,"Trample, haste When Clackbridge Troll enters the battlefield, target opponent creates three 0/1 white Goat creature tokens. At the beginning of combat on your turn, any opponent may sacrifice a creature. If a player does, tap Clackbridge Troll, you gain 3 life, and you draw a card.",3bb,Clackbridge Troll,$0.42,Rare,Creature—Troll,https://scryfall.com/card/eld/84/clackbridge-troll
12,12,--This card has no flavor text --,,Underground Sea (Not Tournament Legal),$749.99,Rare,Land - Island Swamp,https://abugames.com/magic-the-gathering/singles/product-detail/Underground-Sea-%2528Not-Tournament-Legal%2529/Collectors'-Edition-%252D-International/English/
13,13,"Haste (This creature can attack and Tap as soon as it comes under your control.)
Haste (This creature can attack and Tap as soon as it comes under your control.)",2r,Arc Runner,$0.15,Common,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/175866
14,14,Creatures you control get +1/+1. Whenever you tap a land for mana add one mana to your mana pool of any type that land produced.,3gw,Mirari's Wake,$8.00/$10.00,Rare,Enchantment,https://www.capefeargames.com/buylist/magic_singles-odyssey_block-judgment/miraris_wake/7549
15,15,"When Glass Casket enters the battlefield, exile target creature an opponent controls with converted mana cost 3 or less until Glass Casket leaves the battlefield.   Fate will decide whether it’s a bed or a tomb.",1w,Glass Casket,$0.13,Uncommon,Artifact,https://scryfall.com/card/eld/15/glass-casket#rulings
16,16,Sliver creatures you control have flying.,u,Galerider Sliver - Foil,,Rare,Creature - Sliver,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2014/galerider_sliver__foil/100304
17,17,"Flying
Flying",3,Aethersphere Harvester (Aether Revolt Prerelease),$2.99,Promo,Artifact - Vehicle,http://www.starcitygames.com/catalog/magic_the_gathering/product/1305235
18,18,"Enchant artifact you controlAt the beginning of your upkeep, create a token that's a copy of enchanted artifact. Then if you control eight or more artifacts with the same name as one another, you win the game.",2uu,Mechanized Production,$0.03,,Enchantment - Aura,https://www.mtgotraders.com/store/AER_Mechanized_Production.html
19,19,"Destroy target nonblack creature. Madness {B} (If you discard this card, you may play it for its madness cost instead of putting it into your graveyard.)",,Dark Withering - Time Spiral Magic the Gathering Single,$0.30, Common,Instant,https://www.wizardscupboard.com/dark-withering-p-20264.html
